time,lasttime,lat,lng,speed,course,altitude,comment
2025-02-21 16:08:37,2025-02-21 16:08:37,38.62717,-90.26733,33,237,99.97," StrTrk 3 3 1.71V 12C 102483Pa "
2025-02-21 16:10:36,2025-02-21 16:43:36,38.62700,-90.26767,0,118,150.88," StrTrk 38 9 1.56V 7C 102517Pa "
2025-02-21 16:44:36,2025-02-21 16:44:36,38.62717,-90.26700,9,75,388.01," StrTrk 39 9 1.55V 3C 99441Pa "
2025-02-21 16:45:36,2025-02-21 16:45:36,38.62683,-90.26550,11,107,697.99," StrTrk 40 9 1.53V -2C 95536Pa "
2025-02-21 16:46:36,2025-02-21 16:46:36,38.62600,-90.26333,7,79,983.89," StrTrk 41 9 1.53V -4C 92060Pa "
2025-02-21 16:47:36,2025-02-21 16:47:36,38.62767,-90.26217,19,48,1296.01," StrTrk 42 9 1.53V -3C 88445Pa "
2025-02-21 16:48:36,2025-02-21 16:48:36,38.62967,-90.26200,22,8,1585.87," StrTrk 43 9 1.53V -2C 85196Pa "
2025-02-21 16:49:36,2025-02-21 16:49:36,38.63150,-90.26167,6,18,1853.79," StrTrk 44 9 1.53V -1C 82364Pa "
2025-02-21 16:50:36,2025-02-21 16:50:36,38.63317,-90.26100,6,29,2162.86," StrTrk 45 9 1.53V -2C 79168Pa "
2025-02-21 16:51:36,2025-02-21 16:51:36,38.63533,-90.25933,22,35,2468.88," StrTrk 46 9 1.53V -2C 76073Pa "
2025-02-21 16:52:36,2025-02-21 16:52:36,38.63733,-90.25683,30,63,2784.96," StrTrk 47 9 1.52V -2C 73053Pa "
2025-02-21 16:53:36,2025-02-21 16:53:36,38.63883,-90.25367,20,54,3104.08," StrTrk 48 9 1.53V -3C 70103Pa "
2025-02-21 16:54:36,2025-02-21 16:54:36,38.64050,-90.24917,20,55,3414.98," StrTrk 49 9 1.53V -5C 67322Pa "
2025-02-21 16:55:36,2025-02-21 16:55:36,38.64100,-90.24417,37,94,3705.15," StrTrk 50 9 1.53V -6C 64785Pa "
2025-02-21 16:56:36,2025-02-21 16:56:36,38.64050,-90.23933,28,109,4037.08," StrTrk 51 9 1.52V -7C 62039Pa "
2025-02-21 16:57:36,2025-02-21 16:57:36,38.63933,-90.23117,57,102,4357.12," StrTrk 52 9 1.52V -8C 59470Pa "
2025-02-21 16:58:36,2025-02-21 16:58:36,38.63717,-90.22200,56,95,4684.17," StrTrk 53 9 1.51V -09C 56954Pa "
2025-02-21 16:59:36,2025-02-21 16:59:36,38.63467,-90.21100,61,113,4998.11," StrTrk 54 9 1.50V -11C 54646Pa "
2025-02-21 17:00:36,2025-02-21 17:00:36,38.63133,-90.19850,67,99,5309.01," StrTrk 55 9 1.51V -12C 52396Pa "
2025-02-21 17:01:36,2025-02-21 17:01:36,38.62817,-90.18350,74,108,5626.00," StrTrk 56 9 1.49V -14C 50145Pa "
2025-02-21 17:02:36,2025-02-21 17:02:36,38.62467,-90.16767,87,109,5945.12," StrTrk 57 9 1.50V -16C 48056Pa "
2025-02-21 17:03:36,2025-02-21 17:03:36,38.62167,-90.14750,106,95,6252.06," StrTrk 58 9 1.49V -17C 46014Pa "
2025-02-21 17:04:36,2025-02-21 17:04:36,38.62000,-90.12583,122,91,6602.27," StrTrk 59 9 1.48V -19C 43871Pa "
2025-02-21 17:05:36,2025-02-21 17:05:36,38.61933,-90.09967,135,92,6930.24," StrTrk 60 9 1.49V -20C 41834Pa "
2025-02-21 17:06:36,2025-02-21 17:06:36,38.61883,-90.07283,133,95,7290.21," StrTrk 61 9 1.48V -21C 39810Pa "
2025-02-21 17:07:36,2025-02-21 17:07:36,38.61667,-90.04450,143,100,7640.12," StrTrk 62 9 1.47V -23C 37903Pa "
2025-02-21 17:08:36,2025-02-21 17:08:36,38.61483,-90.01517,156,99,7967.17," StrTrk 63 9 1.46V -25C 36175Pa "
2025-02-21 17:09:36,2025-02-21 17:09:36,38.61183,-89.98450,178,95,8324.39," StrTrk 64 9 1.45V -26C 34352Pa "
2025-02-21 17:10:36,2025-02-21 17:10:36,38.60917,-89.94917,209,92,8656.32," StrTrk 65 9 1.45V -28C 32724Pa "
2025-02-21 17:11:36,2025-02-21 17:11:36,38.60667,-89.90950,206,90,9005.32," StrTrk 66 9 1.44V -29C 31139Pa "
2025-02-21 17:12:36,2025-02-21 17:12:36,38.60367,-89.86917,200,93,9327.18," StrTrk 67 9 1.45V -31C 29657Pa "
2025-02-21 17:13:36,2025-02-21 17:13:36,38.60083,-89.83200,189,98,9688.37," StrTrk 68 9 1.44V -33C 28055Pa "
2025-02-21 17:14:36,2025-02-21 17:14:36,38.59933,-89.79733,174,93,10048.34," StrTrk 69 9 1.42V -34C 26614Pa "
2025-02-21 17:15:36,2025-02-21 17:15:36,38.59917,-89.75933,217,90,10366.25," StrTrk 70 9 1.43V -35C 25355Pa "
2025-02-21 17:16:36,2025-02-21 17:16:36,38.59717,-89.71950,194,98,10709.45," StrTrk 71 9 1.42V -36C 24030Pa "
2025-02-21 17:17:36,2025-02-21 17:17:36,38.59317,-89.68517,172,97,11040.47," StrTrk 72 9 1.41V -36C 22826Pa "
2025-02-21 17:18:36,2025-02-21 17:18:36,38.59017,-89.65283,180,95,11343.44," StrTrk 73 9 1.41V -37C 21795Pa "
2025-02-21 17:19:36,2025-02-21 17:19:36,38.58717,-89.62150,165,95,11660.43," StrTrk 74 9 1.41V -37C 20742Pa "
2025-02-21 17:20:36,2025-02-21 17:20:36,38.58567,-89.59033,154,93,11972.54," StrTrk 75 9 1.41V -36C 19765Pa "
2025-02-21 17:21:36,2025-02-21 17:21:36,38.58383,-89.56033,163,95,12269.42," StrTrk 76 9 1.42V -35C 18820Pa "
2025-02-21 17:22:36,2025-02-21 17:22:36,38.58333,-89.52883,172,95,12603.48," StrTrk 77 9 1.41V -35C 17865Pa "
2025-02-21 17:23:36,2025-02-21 17:23:36,38.58150,-89.49817,167,92,12889.38," StrTrk 78 9 1.42V -35C 17058Pa "
2025-02-21 17:24:36,2025-02-21 17:24:36,38.58200,-89.46783,159,87,13201.50," StrTrk 79 9 1.42V -35C 16265Pa "
2025-02-21 17:25:36,2025-02-21 17:25:36,38.58167,-89.43667,163,96,13518.49," StrTrk 80 9 1.42V -35C 15458Pa "
2025-02-21 17:26:36,2025-02-21 17:26:36,38.57933,-89.40567,152,92,13803.48," StrTrk 81 9 1.42V -35C 14773Pa "
2025-02-21 17:27:36,2025-02-21 17:27:36,38.57733,-89.37683,139,95,14077.49," StrTrk 82 9 1.42V -34C 14156Pa "
2025-02-21 17:28:36,2025-02-21 17:28:36,38.57700,-89.34967,146,83,14351.51," StrTrk 83 9 1.42V -34C 13542Pa "
2025-02-21 17:29:36,2025-02-21 17:29:36,38.57917,-89.32100,156,89,14632.53," StrTrk 84 9 1.43V -33C 12950Pa "
2025-02-21 17:30:36,2025-02-21 17:30:36,38.57933,-89.29167,135,91,14942.52," StrTrk 85 9 1.42V -33C 12315Pa "
